start_time,end_time,lyric,vocal1,vocal2,duration,song_name,song_year
"00:01:16,833","00:01:18,793",jinshimimyeon Everything’s gonna be okay,Chaeyoung,,1.96,KnockKnock,2017
"00:01:18,700","00:01:23,080",nan neoreul weonhae nan neoreul weonhae wae baneungi eomni,Tzuyu,,4.38,Signal,2017
"00:01:18,793","00:01:22,523",eotteokae beolsseo wanna bwa jamshiman gidaryeo jullaeyo,Dahyun,,3.73,KnockKnock,2017
"00:01:19,080","00:01:21,880", maltuneun Cool cool  ginjanghal piryo eopseo,Jeongyeon,,2.8,HeartShaker,2017
"00:01:19,260","00:01:21,260",geunde joayo,Nayeon,,2.0,Likey,2017
"00:01:21,540","00:01:22,040", jamdo mot jado,Nayeon,,0.5,Likey,2017
"00:01:21,920","00:01:23,120",yeah yeah yeah yeah,Tzuyu,,1.2,HeartShaker,2017
"00:01:22,160","00:01:26,100", jigakage dwaedo joeungeol,Nayeon,,3.94,Likey,2017
"00:01:22,523","00:01:24,523",honja isseul ttae huk deureowa,Jeongyeon,,2.0,KnockKnock,2017
"00:01:23,240","00:01:24,840",jeongshin bajjak charigo jipjunghae,Chaeyoung,,1.6,HeartShaker,2017
"00:01:23,280","00:01:25,220",mannal ttae mada maeumeul dama,Sana,,1.94,Signal,2017
"00:01:24,523","00:01:26,425",jeongshin eopshi nal heundeureo nwa,Jeongyeon,,1.902,KnockKnock,2017
"00:01:24,900","00:01:26,100",No no no no,Momo,,1.2,HeartShaker,2017
"00:01:25,340","00:01:27,700",jjirit jjirit jjirit jjirit,Sana,,2.36,Signal,2017
"00:01:26,200","00:01:27,760",eotteokae ttokbaro mot bogesseo,Dahyun,,1.56,HeartShaker,2017
"00:01:26,340","00:01:29,580",seollenda heart Me likey Me likey likey likey,Sana,,3.24,Likey,2017
"00:01:26,425","00:01:30,125",jigeumi ttak neol wihan showtime make it yours,Jeongyeon,,3.7,KnockKnock,2017
"00:01:27,000","00:01:27,960",jigeumiya,Tzuyu,,0.96,HeartShaker,2017
"00:01:27,700","00:01:32,300",gidarijana da boijana wae alji motani,Sana,,4.6,Signal,2017
"00:01:28,000","00:01:28,860",Girl you can do it,Chaeyoung,,0.86,HeartShaker,2017
"00:01:28,940","00:01:30,640",nuni majuchigo itjana,Tzuyu,,1.7,HeartShaker,2017
"00:01:29,580","00:01:31,400",Me likey likey likey,Sana,,1.82,Likey,2017
"00:01:30,125","00:01:33,063",daeng daeng ullimyeon maeil chajawajullae,Tzuyu,Sana,2.938,KnockKnock,2017
"00:01:30,700","00:01:31,820",Love is timing,Dahyun,,1.12,HeartShaker,2017
